,from,to,strength,AuthorRep_from,AuthorRep_to
2688,5459839.0,12450991.0,4,257338,33
2689,2627243.0,12450991.0,1,7934,33
2690,1447675.0,12450991.0,1,348315,33
2691,5459839.0,15932713.0,4,257338,25
2692,10780861.0,15932713.0,6,4873,25
2693,5459839.0,18430361.0,3,257338,51
2694,5941309.0,18430361.0,1,285,51
2695,5459839.0,16648691.0,3,257338,113
2696,13320076.0,16648691.0,3,521,113
2697,5459839.0,13651510.0,3,257338,19
2698,3082296.0,13651510.0,10,31318,19
2699,5459839.0,12916691.0,3,257338,1380
2700,1491895.0,12916691.0,3,660021,1380
2701,1377002.0,12916691.0,7,51194,1380
2702,8105944.0,12916691.0,2,19,1380
2703,13573444.0,12916691.0,1,14342,1380
2704,5459839.0,8461786.0,3,257338,2813
2705,6045800.0,8461786.0,1,15492,2813
2706,1126841.0,8461786.0,3,440478,2813
2707,5459839.0,6384776.0,3,257338,1895
2708,182668.0,6384776.0,1,387347,1895
2709,1021703.0,6384776.0,2,25021,1895
2710,2627243.0,6384776.0,1,7934,1895
2711,7025699.0,6384776.0,2,7435,1895
2712,14385936.0,6384776.0,1,139,1895
2713,15333317.0,6384776.0,1,153,1895
2714,13409327.0,6384776.0,2,370,1895
2715,6475284.0,6384776.0,1,2078,1895
2716,5459839.0,2627243.0,3,257338,7934
2717,11606728.0,2627243.0,15,3563,7934
2718,6571696.0,2627243.0,3,531,7934
2719,1243641.0,2627243.0,12,43565,7934
2720,1486848.0,2627243.0,2,1964,7934
2721,14032355.0,2627243.0,1,4405,7934
2722,1377002.0,2627243.0,5,51194,7934
2723,7486313.0,2627243.0,2,25364,7934
2724,16388788.0,2627243.0,9,61,7934
2725,15788515.0,2627243.0,9,31,7934
2726,1447675.0,2627243.0,3,348315,7934
2727,6384776.0,2627243.0,1,1895,7934
2728,215552.0,2627243.0,3,11075,7934
2729,4642212.0,2627243.0,1,16398,7934
2730,14104.0,2627243.0,3,194320,7934
2731,157247.0,2627243.0,2,948872,7934
2732,6099327.0,2627243.0,1,16966,7934
2733,9765167.0,2627243.0,3,8952,7934
2734,1967864.0,2627243.0,5,3104,7934
2735,18159354.0,2627243.0,3,29,7934
2736,14631885.0,2627243.0,1,1360,7934
2737,17055403.0,2627243.0,5,3359,7934
2738,2610061.0,2627243.0,2,20769,7934
2739,367865.0,2627243.0,2,14164,7934
2740,1444609.0,2627243.0,1,21863,7934
